1,3.14000,3.90000
1,3.02000,3.30000
1,2.28000,3.78000
1,2.04000,4.66000
1,2.32000,5.46000
1,2.98000,6.02000
1,2.72000,7.04000
1,4.14000,6.16000
1,3.86000,4.74000
1,3.10000,4.74000
1,4.00000,3.94000
1,4.22000,5.14000
1,3.28000,5.76000
1,3.34000,5.24000
1,2.52000,6.00000
1,1.40000,6.34000
1,1.46000,5.82000
1,1.98000,5.22000
1,2.60000,4.52000
1,3.00000,5.80000
1,3.64000,6.50000
1,3.54000,7.16000
1,2.70000,7.10000
1,2.90000,6.54000
1,3.76000,6.24000
1,4.52000,5.54000
1,4.88000,4.54000
1,4.48000,2.98000
1,4.16000,2.30000
1,4.06000,3.08000
1,3.46000,2.26000
1,3.04000,2.06000
1,3.58000,3.14000
1,2.40000,2.98000
1,2.14000,2.20000
1,2.56000,1.40000
1,2.80000,2.52000
1,1.52000,3.44000
1,1.30000,4.42000
1,1.60000,4.52000
1,1.34000,5.30000
1,2.44000,6.00000
1,2.04000,6.92000
1,1.64000,7.46000
1,2.32000,7.68000
1,3.10000,8.06000
1,3.34000,8.46000
1,4.08000,7.82000
1,4.60000,6.98000
1,5.18000,7.78000
1,1.78000,8.46000
1,0.90000,8.66000
1,1.00000,8.06000
1,0.94000,7.32000
1,1.22000,7.02000
1,0.84000,6.18000
1,1.04000,5.58000
1,2.20000,5.90000
1,1.94000,6.58000
1,2.56000,6.58000
1,2.72000,5.54000
1,1.72000,4.04000
1,1.74000,2.98000
1,1.10000,2.36000
1,1.66000,1.70000
1,1.92000,2.24000
1,2.04000,2.88000
1,2.56000,2.30000
1,3.24000,2.76000
1,3.54000,3.48000
1,3.74000,4.18000
1,4.32000,3.66000
1,4.70000,4.36000
1,4.44000,4.82000
1,4.78000,5.38000
1,4.90000,6.34000
1,4.26000,6.64000
1,4.08000,7.10000
1,4.72000,7.82000
1,4.78000,8.44000
1,3.90000,8.74000
1,5.56000,8.22000
1,5.38000,7.08000
1,5.46000,5.90000
1,5.42000,4.68000
1,5.92000,3.06000
1,5.30000,2.80000
1,5.28000,3.56000
1,4.72000,2.26000
1,4.64000,1.46000
1,3.42000,1.84000
1,3.08000,1.08000
-1,6.68000,7.66000
-1,6.88000,7.38000
-1,7.50000,6.98000
-1,7.90000,7.46000
-1,7.74000,8.02000
-1,6.80000,8.44000
-1,7.72000,6.02000
-1,7.72000,7.14000
-1,7.20000,7.86000
-1,7.12000,6.92000
